title,video_id,views,likes,comment_count,published_at,data,hora
ITUB4 - Resultados 3T24 - Itaú Unibanco,98Vq8K5OYJo,15681,97,8,2024-11-05 19:38:16+00:00,2024-11-05,19:38:16
ITUB4 - 3Q24 Results - Itaú Unibanco,tVkPhzAhlmk,4654,16,1,2024-11-05 19:38:21+00:00,2024-11-05,19:38:21
conheça o iPhone pra Sempre,52RtG8ru9zk,9441,70,3,2024-11-07 15:16:21+00:00,2024-11-07,15:16:21
App Itaú | Parcelar Compras,XxaUsttoiAM,28524307,34654,22,2024-11-24 00:28:46+00:00,2024-11-24,00:28:46
App Itaú | Black Friday,MBMC-DCQu_I,511180,13217,2,2024-11-29 17:22:31+00:00,2024-11-29,17:22:31
App Itaú | Antecipe suas Parcelas,vj2gP7bAhUk,461081,14473,4,2024-12-03 20:08:53+00:00,2024-12-03,20:08:53
Feito para sua segurança.,W87a_4yza0I,596994,13430,1,2024-12-05 20:54:47+00:00,2024-12-05,20:54:47
Feito para sua comodidade.,kvWetTyFkn8,620877,14795,2,2024-12-05 20:58:25+00:00,2024-12-05,20:58:25
App Itaú | Antecipar Parcelas,VqWuz1E42AQ,882398,18898,0,2024-12-09 17:21:40+00:00,2024-12-09,17:21:40
App Itaú | Antecipar Parcelas,l2-cTaVNOeI,7012401,106,13,2024-12-09 17:25:02+00:00,2024-12-09,17:25:02
Como bloquear seu cartão no app Itaú?,G44Tbv37Zr8,4828,29,0,2024-12-11 14:00:16+00:00,2024-12-11,14:00:16
Como solicitar a 2ª via da fatura no WhatsApp?,Iq4PHmSbA6I,2019,60,1,2024-12-11 14:00:17+00:00,2024-12-11,14:00:17
Como antecipar as compras parceladas no app Itaú?,RUzPaJHS49w,7506,33,3,2024-12-11 14:00:28+00:00,2024-12-11,14:00:28
Como bloquear seu cartão no app Itaú?,hZ4llEvpgag,4287,104,0,2024-12-11 14:00:45+00:00,2024-12-11,14:00:45
Como parcelar compras à vista no app Itaú?,hgkqw1gJkWA,8534,29,1,2024-12-11 14:00:47+00:00,2024-12-11,14:00:47
Como parcelar compras à vista no app Itaú?,pSWZQf75hUo,4928,117,0,2024-12-11 14:00:53+00:00,2024-12-11,14:00:53
Como solicitar a 2ª via da fatura no WhatsApp?,ue8aV7m4Iqw,4794,36,4,2024-12-11 14:01:02+00:00,2024-12-11,14:01:02
Como antecipar as compras parceladas no app Itaú?,x-YvcITvsWQ,4065,91,5,2024-12-11 14:01:02+00:00,2024-12-11,14:01:02
Como fazer Pix copia e cola?,L9v9cFLC-QI,13936,52,2,2024-12-13 14:00:18+00:00,2024-12-13,14:00:18
Como fazer Pix com cartão de crédito?,RxnE43UIpTE,19396,305,19,2024-12-13 14:00:32+00:00,2024-12-13,14:00:32
Como fazer Pix com cartão de crédito?,bjh5Df1MxVA,19332,112,29,2024-12-13 14:00:39+00:00,2024-12-13,14:00:39
Como fazer Pix copia e cola?,jvdLTdtnxow,8932,168,2,2024-12-13 14:00:47+00:00,2024-12-13,14:00:47
Feito para sua comodidade.,9GFnjJVbA7w,169390,4964,3,2024-12-16 17:03:54+00:00,2024-12-16,17:03:54
Feito para te salvar do aperto.,8frMv_jxmng,358560,11618,0,2024-12-16 20:45:41+00:00,2024-12-16,20:45:41
Feito para seu limite não limitar seus benefícios.,z1fpCQlz79g,532084,12301,2,2024-12-16 20:47:29+00:00,2024-12-16,20:47:29
App Itaú | Antecipar Parcelas,XSZhPLJFIWo,2304715,99,2,2024-12-19 18:01:00+00:00,2024-12-19,18:01:00
Feliz 2025 - Itaú,h4oTCpLfdqs,31512189,5982,629,2024-12-19 20:20:56+00:00,2024-12-19,20:20:56
Feliz 2025 - Making of Itaú,_rJGVuUF3Is,5549547,454870,31,2024-12-19 20:32:21+00:00,2024-12-19,20:32:21
Conheça o Crédito com Garantia de Imóvel do Itaú,2Mm-i6Plloo,38571,128,9,2024-12-20 17:35:24+00:00,2024-12-20,17:35:24
Como acessar a área de cartões no app Itaú?,yWzrNg59QYk,9759,167,1,2024-12-20 19:13:37+00:00,2024-12-20,19:13:37
Como acessar a área de cartões no app Itaú?,ubieDuaVIpM,23774,71,1,2024-12-20 19:13:45+00:00,2024-12-20,19:13:45
Itaú deseja um feliz 2025!,oiGW5kxDKWc,9634689,2879,251,2024-12-23 16:46:19+00:00,2024-12-23,16:46:19
Itaú deseja um ótimo 2025!,MNvHaISdCzc,5444536,158,18,2024-12-26 14:41:14+00:00,2024-12-26,14:41:14
