title,video_id,views,likes,comment_count,published_at,data,hora
Agora é Time Brasil. Agora é BRA,K7sW3vTA1Pc,96158,295,28,2015-07-10 17:51:58+00:00,2015-07-10,17:51:58
#HangoutBRA - Episódio 2: Pé na Estrada,i4-yuLabcSA,543212,2569,379,2015-07-14 00:58:46+00:00,2015-07-14,00:58:46
O Brasil fica maior quando vira um Time – Charles Chibana,USXc7KUTuK4,1278894,136,10,2015-07-14 20:05:18+00:00,2015-07-14,20:05:18
O Brasil fica maior quando vira um Time – Rafaela Silva,vHIOMeG2TZg,1014334,558,68,2015-07-14 20:13:49+00:00,2015-07-14,20:13:49
Making Of - Agora é Time Brasil. Agora é BRA,NdmVo4dfvqY,13698,35,3,2015-07-15 20:39:57+00:00,2015-07-15,20:39:57
O Brasil fica maior quando vira um Time – Cláudio Biekarck,2YRPrPyxJOY,5909,22,0,2015-07-17 19:00:30+00:00,2015-07-17,19:00:30
O Brasil fica maior quando vira um Time – Torben Grael,5q_A3Wbjm74,4099,22,1,2015-07-20 17:55:12+00:00,2015-07-20,17:55:12
O Brasil fica maior quando vira um Time - Jaqueline Silvestre,lcF5Y0yk29A,141274,509,60,2015-07-22 18:29:37+00:00,2015-07-22,18:29:37
Revezamento da Tocha Rio 2016 – Manifesto,fNZTKvrih3k,272709,20,2,2015-07-23 21:21:09+00:00,2015-07-23,21:21:09
O Brasil fica maior quando vira um Time - Ricardo Fischer,GgFI8Zyslio,9629,45,10,2015-07-27 12:24:37+00:00,2015-07-27,12:24:37
O Brasil fica maior quando vira um Time - Zanon,beH9mKh-5dk,15502,80,5,2015-07-27 12:31:08+00:00,2015-07-27,12:31:08
"O Brasil fica maior quando vira um Time - Lucas ""Tanque"" e Fernando Portugal",0CrJKTZMaCA,4362,17,0,2015-07-27 12:56:23+00:00,2015-07-27,12:56:23
Começou a indicação dos condutores da Tocha Olímpica Rio 2016,8bT4aI71olE,2235252,177,30,2015-08-03 11:29:53+00:00,2015-08-03,11:29:53
Começou a indicação dos condutores da Tocha Olímpica Rio 2016,Q5N_p-4Q72w,7574401,38,17,2015-08-03 11:30:05+00:00,2015-08-03,11:30:05
Bradesco Corporate & Investment Banking,bQqSRaVoiNo,65642,260,29,2015-08-13 12:06:35+00:00,2015-08-13,12:06:35
Falando de Ética com Clóvis de Barros Filho - Abdicar,0PyAEdlOVVc,113272,911,55,2015-09-08 11:52:27+00:00,2015-09-08,11:52:27
Falando de Ética com Clóvis de Barros Filho - Confiar,gIeU03AJibg,69771,599,31,2015-09-08 12:09:11+00:00,2015-09-08,12:09:11
Falando de Ética com Clóvis de Barros Filho - Transparecer,hEwXEGs2cpQ,426040,3271,212,2015-09-08 12:27:46+00:00,2015-09-08,12:27:46
Novo Aplicativo Bradesco Net Empresa,ZryBWlNBQUE,21148,56,3,2015-09-21 20:55:40+00:00,2015-09-21,20:55:40
Novo Aplicativo Bradesco Net Empresa,XoTAcBGlowc,1937393,111,6,2015-09-25 19:07:38+00:00,2015-09-25,19:07:38
Empreendedores,Z8vKqIQn1AI,19200,57,2,2015-09-25 21:25:56+00:00,2015-09-25,21:25:56
Chama que Transforma - Rosinha,DxxO5S6otvg,2491789,6984,379,2015-09-29 18:28:13+00:00,2015-09-29,18:28:13
Chama que Transforma - Antônio Carlos Orselli,brjhXlAzVm0,1588866,129,19,2015-10-05 14:04:50+00:00,2015-10-05,14:04:50
Chama que Transforma - Paul Lafontaine,7OGpXlrxt1o,1505000,201,34,2015-10-29 16:47:47+00:00,2015-10-29,16:47:47
inovaBRA - bate-papo com Eme Viegas e Jaque Barbosa,c8K9RS37rqs,13748,63,6,2015-11-13 19:08:58+00:00,2015-11-13,19:08:58
inovaBRA - Qranio,mt4sTAI5-BM,5981,24,1,2015-11-13 19:09:21+00:00,2015-11-13,19:09:21
inovaBRA - Sensedia,n9Z1RjKI8V4,4315,18,2,2015-11-13 19:09:36+00:00,2015-11-13,19:09:36
inovaBRA - QueroQuitar,QtHSbRn591o,4965,14,4,2015-11-13 19:09:49+00:00,2015-11-13,19:09:49
inovaBRA - Rede Frete Fácil,un8rdIi7xHY,2223,7,0,2015-11-13 19:10:01+00:00,2015-11-13,19:10:01
inovaBRA - Atar,ZQ5KQwx_uJA,2374,6,1,2015-11-13 19:10:13+00:00,2015-11-13,19:10:13
inovaBRA - Screencorp,L1Qkxrt1Xms,1849,11,0,2015-11-13 19:10:24+00:00,2015-11-13,19:10:24
Lançamento do inovaBRA 2,gfOXmasvj7k,22749,134,16,2015-11-26 20:48:47+00:00,2015-11-26,20:48:47
Revertendo a crise de confiança,CphVrKSU-5M,3774,24,4,2015-12-01 21:31:20+00:00,2015-12-01,21:31:20
Autoline – Precisamos comprar o carro,MdLODe0ttsw,1091083,143,34,2015-12-15 12:19:54+00:00,2015-12-15,12:19:54
Autoline – Pelo telefone,-bIcnF9ds-s,956828,306,44,2015-12-15 12:37:34+00:00,2015-12-15,12:37:34
Autoline – Não consigo vender nosso carro,ven_ihY32YU,1666429,73,11,2015-12-15 12:42:52+00:00,2015-12-15,12:42:52
aBRAce 2016,kuwKV9HNVGI,4287614,1269,108,2015-12-17 19:50:10+00:00,2015-12-17,19:50:10
Promoção Os Reis do Asfalto,OunVyk7S68A,8751,42,1,2016-02-01 18:14:57+00:00,2016-02-01,18:14:57
Combater o mosquito. Isso é da nossa conta.,gHly6WqkVPQ,25446,85,13,2016-02-19 18:47:55+00:00,2016-02-19,18:47:55
Carolina França e Fernanda Parlato (Tasty),VTf-PvSRDGs,20475,83,10,2016-03-07 19:37:09+00:00,2016-03-07,19:37:09
Sociedade de Negócios – Maria Luisa (Malu Sobrancelhas),gyepbrSbVxc,2284794,10157,1150,2016-03-17 20:29:02+00:00,2016-03-17,20:29:02
Chama que Transforma - Sidnei Silvestre,DX2v-oUEjPI,1542782,189,39,2016-03-24 17:23:16+00:00,2016-03-24,17:23:16
Chama que Transforma - Beto,bZWFgs4Fhzk,1611876,136,19,2016-03-31 19:37:20+00:00,2016-03-31,19:37:20
Receitas Digitais Bradesco – Depósito de Cheque à la Minute,qpu9x4arxio,5067472,295,51,2016-04-03 23:07:12+00:00,2016-04-03,23:07:12
Receitas Digitais Bradesco – Conveniência à moda do Chefe,DpbNC3p56yU,3368280,76,14,2016-04-03 23:09:05+00:00,2016-04-03,23:09:05
Receitas Digitais Bradesco – Picadinho de Boleto,9Hd3Mi85c04,4597715,251,49,2016-04-03 23:09:34+00:00,2016-04-03,23:09:34
Chama que Transforma - Paulo Graça,VADU0U4Erxg,2178355,1554,238,2016-04-06 14:28:11+00:00,2016-04-06,14:28:11
Chama que Transforma - Cláudio,s5ZzNU5yCcs,2011468,7218,909,2016-04-07 13:01:33+00:00,2016-04-07,13:01:33
Receitas Digitais Bradesco – Atendimento à Moda Digital,WTAJ4MwUENk,3736036,132,46,2016-04-08 15:12:14+00:00,2016-04-08,15:12:14
Chama que Transforma - Zuleika,FFdS-a25Los,1798370,188,20,2016-04-14 20:58:32+00:00,2016-04-14,20:58:32
Receitas Digitais Bradesco - Suflê de transferência sem sofrer,jMq9UTZuGEo,2417466,86,17,2016-04-18 21:29:54+00:00,2016-04-18,21:29:54
Receitas Digitais Bradesco - X-Tudo Digital,Amm0nvf8QZw,2237623,65,18,2016-04-18 21:32:35+00:00,2016-04-18,21:32:35
Receitas Digitais Bradesco – Empréstimos a Dorê,De86cCfpEJw,2203979,73,27,2016-04-20 23:26:39+00:00,2016-04-20,23:26:39
Tocha Olímpica Rio 2016 – Acendeu,Et58tMQik3Q,2104985,292,41,2016-04-22 12:31:05+00:00,2016-04-22,12:31:05
Chama que Transforma - Luiz Felipe,hinRR-DbmX0,3074953,4463,560,2016-04-22 13:29:43+00:00,2016-04-22,13:29:43
A Chama Olímpica chegou! #chamaquetransforma,ttsruQ3d6lU,1235556,76,6,2016-05-03 17:25:26+00:00,2016-05-03,17:25:26
Bradesco Explica - Contratação Bradesco Net Empresa,RmbNbGsI5a8,113579,643,38,2016-05-09 20:01:02+00:00,2016-05-09,20:01:02
GABRIEL,jgfCOlUloWA,38162764,14038,1075,2016-05-11 15:02:54+00:00,2016-05-11,15:02:54
REVEZAMENTO DA TOCHA - EPISÓDIO 1 - INÍCIO DA JORNADA,z8q3Q6irw4o,864512,582,132,2016-05-13 11:58:56+00:00,2016-05-13,11:58:56
REVEZAMENTO DA TOCHA – EPISÓDIO 2 – TESTEMUNHAS DO ABRAÇO,KPscVky96Zs,814768,276,48,2016-05-20 12:16:44+00:00,2016-05-20,12:16:44
Fidelidade Bradesco Cartões + Livelo,bZd4SqPaFtE,143441,1099,145,2016-05-24 22:23:01+00:00,2016-05-24,22:23:01
REVEZAMENTO DA TOCHA – EPISÓDIO 3 – CONDUTORES DA TRANSFORMAÇÃO,TCQ18MDk_hs,1053889,261,30,2016-05-27 11:56:16+00:00,2016-05-27,11:56:16
Compromisso,cmEgeAozoEo,128855,271,38,2016-06-02 13:56:00+00:00,2016-06-02,13:56:00
REVEZAMENTO DA TOCHA – EPISÓDIO 4 – MULHERES DO BRASIL,r7lndT5VzmI,650918,159,11,2016-06-03 12:06:44+00:00,2016-06-03,12:06:44
REVEZAMENTO DA TOCHA – EPISÓDIO 5 – A CHAMA DA ARTE E DA CULTURA,iRv5UqI-STY,1146886,246,25,2016-06-10 12:03:05+00:00,2016-06-10,12:03:05
REVEZAMENTO DA TOCHA – EPISÓDIO 6 – O QUE A CHAMA OLÍMPICA VIU,zrRV_lJ6EPw,1179563,96,16,2016-06-17 12:13:20+00:00,2016-06-17,12:13:20
REVEZAMENTO DA TOCHA – EPISÓDIO 7 – A CHAMA DA TRANSFORMAÇÃO SOCIAL,cQJ6wTewTgs,1901958,185,28,2016-07-01 13:32:59+00:00,2016-07-01,13:32:59
REVEZAMENTO DA TOCHA – EPISÓDIO 8 – A CHAMA DA DIVERSIDADE,l-v5K471bxk,2793679,5691,956,2016-07-08 12:20:39+00:00,2016-07-08,12:20:39
REVEZAMENTO DA TOCHA – EPISÓDIO 9 – A CHAMA DA UNIÃO,E1eMefjNqAA,1256569,844,105,2016-07-15 12:21:08+00:00,2016-07-15,12:21:08
REVEZAMENTO DA TOCHA – EPISÓDIO 10 – A CHAMA DA INSPIRAÇÃO,bORH7nqVeq4,6719825,24350,3598,2016-07-22 11:44:59+00:00,2016-07-22,11:44:59
Agora é BRA – Se Ligaê,irO-QKahzHw,1559082,9112,1104,2016-07-24 19:51:32+00:00,2016-07-24,19:51:32
REVEZAMENTO DA TOCHA – EPISÓDIO 11 – A CHAMA DA SOLIDARIEDADE,sunqFDRus5g,1549392,1934,207,2016-07-29 12:26:40+00:00,2016-07-29,12:26:40
REVEZAMENTO DA TOCHA – EPISÓDIO FINAL – A CHAMA ABRAÇOU O BRASIL,RLwLdbPCjig,842361,1163,173,2016-08-05 12:45:05+00:00,2016-08-05,12:45:05
Agora é BRA - Se Liga Aê - Esportes,UQOzUofzKm0,172756,514,65,2016-08-05 13:07:21+00:00,2016-08-05,13:07:21
#agoraéBRA - Sarah Menezes do Judô,dJA-qTVkSdQ,8108,22,5,2016-08-09 16:15:52+00:00,2016-08-09,16:15:52
‪#‎agoraéBRA‬ - Nenê Hilário do Basquete,boNXBTd9g4o,22566,68,13,2016-08-09 16:18:44+00:00,2016-08-09,16:18:44
‪#‎agoraéBRA‬ - Edna Santini do Rugby,S4eBvkBskWw,5248,23,4,2016-08-09 16:24:55+00:00,2016-08-09,16:24:55
#‎agoraéBRA - Victor Penalber do Judô,djqc-U5zPrA,4517,22,1,2016-08-09 18:20:26+00:00,2016-08-09,18:20:26
Visão dos bastidores - Abertura dos Jogos Rio 2016,oUsPtyUW0zo,10977,51,1,2016-08-09 22:14:44+00:00,2016-08-09,22:14:44
‪#‎agoraéBRA‬ - Lucas Duque do Rugby,LnWnTwG2Chc,6132,20,4,2016-08-10 15:49:16+00:00,2016-08-10,15:49:16
#agoraéBRA - Como o esporte transformou minha história,9FHYSlGDDeo,12850,51,7,2016-08-11 13:00:38+00:00,2016-08-11,13:00:38
#agoraéBRA - Jorge Zarif da Vela,wE-dVfW43vI,3137,17,0,2016-08-13 13:33:39+00:00,2016-08-13,13:33:39
agoraéBRA - Ana Barbachan da Vela,AWRd-7J1hCU,5678,22,0,2016-08-13 13:44:22+00:00,2016-08-13,13:44:22
#agoraéBRA - Dia dos Pais,W8CJ_W7wRDM,152161,1113,54,2016-08-14 16:03:58+00:00,2016-08-14,16:03:58
Agora é BRA - Se Ligaê,DdhGtggRxqE,625852,1945,272,2016-08-14 22:34:09+00:00,2016-08-14,22:34:09
#agoraéBRA - Como o esporte transformou minha história 2,44rAR7Dy1GU,24059,68,13,2016-08-16 23:56:54+00:00,2016-08-16,23:56:54
#agoraéBRA - Indiretas do Bem no Parque Olímpico,VNhSGOYyNtk,10676,45,10,2016-08-17 16:24:27+00:00,2016-08-17,16:24:27
#agoraéBRA -- Se Ligaê,YTw7Vd66ddg,4254310,7089,1251,2016-08-18 18:11:02+00:00,2016-08-18,18:11:02
