title,video_id,views,likes,comment_count,published_at,data,hora
Meetup Ciber Inteligência,zhnIthAVOGw,1309,156,3,2020-10-01 23:49:26+00:00,2020-10-01,23:49:26
Como abrir uma conta no C6 Bank - Parte 2 I Passo a Passo C6,ZHJeeFZ54WA,5027,90,55,2020-10-06 22:00:06+00:00,2020-10-06,22:00:06
Como fazer depósito por boleto no C6 Bank (iPhone) I Passo a Passo C6,uz_AgZTMK0g,1553,29,6,2020-10-06 22:00:18+00:00,2020-10-06,22:00:18
Como fazer depósito por boleto no C6 Bank (Android) I Passo a Passo C6,DR8AtbiV52g,7561,120,15,2020-10-06 22:15:01+00:00,2020-10-06,22:15:01
Como pedir cartão adicional (Android) I Passo a Passo C6,kp2ZvgkBmg4,6894,125,81,2020-10-06 22:15:03+00:00,2020-10-06,22:15:03
PIX: DÚVIDAS QUE TODO MUNDO TEM (PARTE 2),cyues5350OM,4814,483,53,2020-10-09 23:29:07+00:00,2020-10-09,23:29:07
Efeitos das redes sociais no comportamento e segurança dos jovens,bJjXZU9aCic,26268,2143,11,2020-10-15 00:00:30+00:00,2020-10-15,00:00:30
Meetup C6 Bank e WOMCY: Mulheres em Cyber Segurança,RXZwhNuE5xw,1766,183,4,2020-10-16 00:32:32+00:00,2020-10-16,00:32:32
Trocou de aparelho? Saiba o que fazer (Android) I Passo a Passo C6,pFJnIL9TCP8,64875,832,511,2020-10-21 18:14:08+00:00,2020-10-21,18:14:08
Trocou de aparelho? Saiba o que fazer (iPhone) I Passo a Passo C6,oVZc_J5J9H4,5734,169,51,2020-10-21 18:15:37+00:00,2020-10-21,18:15:37
CONHEÇA O C6 BANK #ÉDASUAVIDA (COM CLEO),r0IuWcZZKRw,5727,288,58,2020-10-29 21:54:48+00:00,2020-10-29,21:54:48
CONHEÇA O C6 BANK #ÉDASUAVIDA (COM PAOLLA OLIVEIRA),-TaZEoGnY3I,19551,306,68,2020-11-09 23:11:52+00:00,2020-11-09,23:11:52
"Fundos ESG: Estratégia, sustentabilidade e rentabilidade em 2021",xzjJ3MnJIyo,3077,641,15,2021-01-11 22:18:58+00:00,2021-01-11,22:18:58
Fundos multimercado: Cenário macroeconômico e tendências em 2021,XnkRBJyqa2U,1451,153,19,2021-01-13 22:10:56+00:00,2021-01-13,22:10:56
Fundos de crédito: As oportunidades no mercado de debêntures incentivados em 2021,raEsp438UV4,1469,158,11,2021-01-15 22:12:44+00:00,2021-01-15,22:12:44
COMO COMEÇAR A INVESTIR? AS 3 ETAPAS DE UM INVESTIDOR CONSCIENTE,XJuzU1HdJyU,94754,5431,353,2021-03-22 19:00:16+00:00,2021-03-22,19:00:16
O QUE É FGC? ENTENDA COMO ELE PODE SALVAR SEUS INVESTIMENTOS,R8BigM6LIdA,29988,1658,115,2021-03-29 22:15:16+00:00,2021-03-29,22:15:16
FGC: COMO ELE FUNCIONA NA PRÁTICA?,Ny2xba_hbdA,26364,1340,103,2021-04-05 22:42:48+00:00,2021-04-05,22:42:48
C6 BANK: UM BANCO COMPLETO NA PALMA DA MÃO (COLORS),8GRQy_0lx0E,38288462,1937,419,2021-04-09 18:09:57+00:00,2021-04-09,18:09:57
"CONSERVADOR, MODERADO OU ARROJADO: QUAL É O SEU PERFIL DE INVESTIDOR?",Bi2OO3IRjR4,30672,1461,116,2021-04-12 20:00:17+00:00,2021-04-12,20:00:17
TUDO QUE VOCÊ PRECISA SABER PARA INVESTIR EM CDB,Rllpx75U5HU,51159,3259,182,2021-04-19 20:00:16+00:00,2021-04-19,20:00:16
"João Luiz Braga, da Encore: “Qualidade das empresas faz diferença em cenário econômico incerto”",KTRIBz2ZGaA,2417,212,38,2021-04-26 19:38:16+00:00,2021-04-26,19:38:16
CONHEÇA AS LCIs E LCAs: RENDA FIXA SEM IMPOSTO DE RENDA,D-uAHTg5TdU,32096,1690,173,2021-04-26 21:00:20+00:00,2021-04-26,21:00:20
TUDO QUE VOCÊ PRECISA SABER PARA INVESTIR EM LCIs E LCAs SEM DOR DE CABEÇA,szH8OO8jdwo,23275,1161,94,2021-05-03 23:31:28+00:00,2021-05-03,23:31:28
Como acessar notas de corretagem pelo app | Passo a Passo C6,NjrvWu8eWk4,4908,152,41,2021-05-06 12:54:04+00:00,2021-05-06,12:54:04
LCI E LCA OU CDB: COMO CALCULAR QUAL É MELHOR?,yIbhIBL-EKI,48850,2291,92,2021-05-10 23:41:28+00:00,2021-05-10,23:41:28
"Grimper Capital: ""Nossos fundos facilitam acesso às estratégias dos grandes investidores""",qUiZn-cSVnQ,995,97,10,2021-05-11 20:35:56+00:00,2021-05-11,20:35:56
AÇÕES: O BÁSICO QUE QUEM ESTÁ COMEÇANDO PRECISA SABER,YvrNcVF13EI,39356,2490,182,2021-05-18 00:12:58+00:00,2021-05-18,00:12:58
C6 BANK: UMA CONTA COMPLETA SEM TARIFAS,CwaBqdbpS0s,3137964,1074,168,2021-05-18 22:00:15+00:00,2021-05-18,22:00:15
AS 3 COISAS QUE VOCÊ PRECISA SABER ANTES DE INVESTIR EM AÇÕES,lJwIb0d6WB4,21699,1437,105,2021-05-24 20:00:12+00:00,2021-05-24,20:00:12
AÇÕES: QUAL É A MELHOR CORRETORA PARA INVESTIR NA BOLSA?,vEVHff8P6ug,22369,1178,127,2021-06-01 00:11:16+00:00,2021-06-01,00:11:16
C6 Pay Essencial: todas as maquininhas em uma única C6 Pay.,ntr71px8e5A,8093,232,35,2021-06-07 20:24:00+00:00,2021-06-07,20:24:00
ETFs E BDRs: GUIA BÁSICO PARA INVESTIR,WeR7277u8QA,19801,1139,96,2021-06-07 23:36:38+00:00,2021-06-07,23:36:38
C6 Pay SuperMini - Mobilidade e autonomia para o seu negócio.,oRv4d0kAv8I,5960,209,43,2021-06-08 00:32:13+00:00,2021-06-08,00:32:13
"C6 Pay Smart - Gestão, mobilidade e autonomia na mesma maquininha.",eVmyxZ0YGrE,6723,79,37,2021-06-08 00:50:39+00:00,2021-06-08,00:50:39
C6 Investor Talk: Gestor da Adam Capital explica as vantagens dos fundos multimercado,-O_MoFGuOhA,903,101,13,2021-06-08 20:57:53+00:00,2021-06-08,20:57:53
