title,video_id,views,likes,comment_count,published_at,data,hora
Como ativar a função débito para quem já tem conta e cartão de crédito Nubank?,I97iH3A6z_g,91645,2710,230,2020-08-17 14:54:34+00:00,2020-08-17,14:54:34
Entenda de uma vez O QUE É PIX | Direto ao Ponto,eSL3aefmL9c,469321,35444,818,2020-08-19 13:33:40+00:00,2020-08-19,13:33:40
Devo optar pelo SAQUE-ANIVERSÁRIO do FGTS? | Direto ao Ponto,2W-v3vZcCGY,83669,2178,93,2020-08-26 13:30:01+00:00,2020-08-26,13:30:01
NuCommunity - Primeiros passos: Saudações,vn8wZo8BkTw,10819,1118,50,2020-08-31 15:11:37+00:00,2020-08-31,15:11:37
"Afinal, POR QUE O DÓLAR SOBE? | Direto ao Ponto",vSnjbaPnkL4,16474,1697,69,2020-09-02 13:30:04+00:00,2020-09-02,13:30:04
O que é a TAXA SELIC e como ela impacta seu bolso? | Direto ao Ponto,dpGzZ8Uz3BM,115799,3415,58,2020-09-09 13:30:02+00:00,2020-09-09,13:30:02
Dúvidas sobre Pix - o novo pagamento instantâneo do Banco Central,yZSO251rmzk,57700,3400,259,2020-09-11 05:39:01+00:00,2020-09-11,05:39:01
Como funciona o limite do cartão de crédito? | Direto ao Ponto,BqYwXk8_xpc,237340,8315,376,2020-09-16 13:30:02+00:00,2020-09-16,13:30:02
Vai passar no débito? Entenda como funciona | Direto ao Ponto,me71VCBBj1w,34916,2045,120,2020-09-23 13:30:02+00:00,2020-09-23,13:30:02
"Especialista, simplifica o Pix? | Entenda como funciona o novo meio de pagamentos instantâneos",sE7dXkST1wo,106660,5438,338,2020-09-29 16:00:12+00:00,2020-09-29,16:00:12
O que é PORTABILIDADE de salário e como fazer? | Direto ao Ponto,HZie-q7SxDU,290958,14210,587,2020-10-01 13:30:01+00:00,2020-10-01,13:30:01
Como funciona uma CONTA DIGITAL? É tudo online mesmo? | Direto ao Ponto,XAD1N49tPSU,32744,1829,87,2020-10-07 13:30:02+00:00,2020-10-07,13:30:02
Como funciona o SEGURO-DESEMPREGO? Como pedir? | Direto ao Ponto,Xc4uNgmB6sc,51200,1113,89,2020-10-14 13:04:52+00:00,2020-10-14,13:04:52
Explicando Pix no Nubank para o grupo das amigas,yKvtX4Uq5vY,11894436,1638,137,2020-10-16 14:03:22+00:00,2020-10-16,14:03:22
O que é CVV do cartão de crédito? Onde fica esse número? | Direto ao Ponto,RoSjOu51nwM,408205,8122,122,2020-11-04 13:30:03+00:00,2020-11-04,13:30:03
Qual o rendimento da poupança? É uma boa opção? | Direto ao Ponto,KcqwI_cwA_g,49044,1593,95,2020-11-11 12:30:03+00:00,2020-11-11,12:30:03
Explicando Pix no Nubank para os meus amigos,7iPaUc4DIPU,23088736,1254,61,2020-11-13 14:30:04+00:00,2020-11-13,14:30:04
Como funciona o estorno no cartão de crédito? É diferente do cancelamento? | Direto ao Ponto,R5yL5Up3Z8c,251308,6249,572,2020-11-18 13:30:02+00:00,2020-11-18,13:30:02
Cuidados ao realizar compras online | Direto ao Ponto,nGDMilQbCqc,10619,1523,55,2020-11-25 13:30:02+00:00,2020-11-25,13:30:02
Como desenvolver uma relação mais saudável com o dinheiro? | Semanada - Ep.1,ab9rJF4peRI,7554,1205,43,2020-12-01 13:00:01+00:00,2020-12-01,13:00:01
O que significa estar com o CPF irregular? Quais as consequências? | Direto ao Ponto,lsavz4AVGKA,30323,1569,52,2020-12-02 13:00:12+00:00,2020-12-02,13:00:12
Dinheiro não traz felicidade... Mas compra? | Semanada - Ep.2,3P_NIQGYaEg,7653,1046,56,2020-12-07 11:00:01+00:00,2020-12-07,11:00:01
O que é inflação e como ela afeta seu bolso? | Direto ao Ponto,ohAOnaSQBLU,5811,917,51,2020-12-09 13:00:29+00:00,2020-12-09,13:00:29
Três siglas que você precisa entender em 2021 | Semanada - Ep.3,-g5JKoP-q9E,7508,952,33,2020-12-14 11:00:00+00:00,2020-12-14,11:00:00
